3415,65741786
3421,38342335
3423,95440946
3863,46986414
4007,89631139
4008,15025844
4009,76184692
4010,88819587
4011,15303296
4012,41392891
4013,87796900
4014,14181608
4015,40575313
4016,87564352
4017,13069066
4018,40453765
4019,72842870
4020,18246479
4021,45231177
4022,71625222
4023,8124921
4024,44519536
4025,70903634
4026,7902349
4027,33396948
4028,70781052
4029,6285791
4030,32274490
4031,69669405
4032,5053103
4033,32452818
4034,68846917
4035,4931562
4036,31339260
4037,67724379
4038,94119974
4039,30113682
4040,66602787
4041,46986414
4042,29491031
4043,66889139
4044,6368038
4045,28279543
4046,55763552
4047,91152256
4048,28546905
4049,54541900
4050,91939608
4051,27324313
4052,53829412
4053,80813021
4054,26202165
4055,53606874
4056,89091579
4057,15480588
4058,52584282
4059,88979991
4060,15367030
4061,41762634
4062,87756343
4063,14141448
4064,40640057
4065,40374923
4066,13429800
4067,49417509
4068,76812113
4069,12206212
4070,49791927
4071,90357090
4072,1184620
4073,48579379
4074,14977074
4075,41462083
4076,77456781
4077,14851496
4078,40240595
4079,76634149
4080,13039848
4081,49127943
4082,76512652
4083,2906250
4084,48305365
4085,75390004
4086,1784619
4087,38289717
4088,74677422
4089,62121
4090,33066139
4091,69455834
4092,6840573
4093,32344688
4094,68339286
4095,95727991
4096,31122090
4097,68516705
4098,94905343
4099,30090452
4100,67494157
4101,93889755
4102,20277860
4103,66672569
4104,92667214
4105,29155212
4106,55550921
4107,92944626
4108,28933734
4109,55337339
4110,22026707
4111,46457856
4112,54615781
4113,80600490
4114,27094595
4115,53493204
4116,89987208
4117,16972957
4118,52367652
4119,9159938
4120,15150365
4121,41544074
4122,88643173
4123,14037717
4124,41422426
4125,77827521
4126,13215230
4127,40200834
4128,76704943
4129,13193642
4130,49587396
4131,75582395
4132,2971090
4133,48365709
4134,75850803
4135,90963488
4136,37243151
4137,74637266
4138,32864
4139,37421579
4140,63515678
4141,52800428
4142,36304921
4143,62793020
4144,9197735
4145,35282433
4146,62671448
4147,98075147
4148,34460851
4149,61454890
4150,97843505
4151,24348204
4152,732302
4153,36121917
4154,63125616
4155,99510761
4156,36904469
4157,62403074
4158,98898173
4159,25882881
4160,53581214
4161,94675535
4162,20060230
4163,53293545
4164,93553943
4165,29948642
4166,56342351
4167,92731455
4168,28725004
4169,55210709
4170,81618817
4171,28003512
4172,54098121
4173,81492226
4174,17881964
4175,53375573
4176,80770678
4177,16768387
4178,53153481
4179,89558090
4180,15042735
4181,42431843
4182,88435542
4183,15820147
4184,41218256
4185,77603950
4186,14708569
4187,40196604
4188,77581312
4189,3985011
4190,49370026
4191,64511793
4192,2863439
4193,49258578
4194,75646173
4195,1641882
4196,38035986
4197,9430387
4198,1929294
4199,37313348
4200,63308047
4201,756652
4202,36151751
4203,63545455
4204,99030164
4205,36039163
4206,75356564
4207,98818516
4208,75889523
4209,61201220
4210,98795934
4211,24194033
4212,60589682
4213,97973387
4214,38142739
4215,39175982
4216,96851799
4217,15510988
4218,53832650
4219,85639257
4220,15401633
4221,58528964
4222,84916669
4223,11901678
4224,57305373
4225,84794011
4226,10189126
4227,56283725
4228,83678433
4229,19066538
4230,46461247
4231,22855882
4232,54844990
4233,46718686
4234,17733394
4235,8783685
4236,80516007
4237,17511156
4238,43905751
4239,89494469
4240,16899564
4241,42883273
4242,89272878
4243,84285623
4244,41061625
4245,78556320
4246,8944575
4247,41949033
4248,47695416
4249,3732747
4250,40826495
4251,76211194
4252,3606209
4253,39004808
4254,75499502
4255,2483611
4256,38982356
4257,75376965
4258,1761063
4259,37160778
4260,64154377
4261,549481
4262,37043180
4263,63432835
4264,99426834
4265,36821538
4266,62210247
4267,15150371
4268,25109950
4269,62193699
4270,98582704
4271,18710707
4272,51371017
4273,97360116
4274,15507080
4275,50259460
4276,96643568
4277,23032273
4278,59036972
4279,86421986
4280,22910685
4281,58314394
4282,85309439
4283,11793047
4284,58192742
4285,84686841
4286,10071456
4287,47060154
4288,83464209
4289,10859908
4290,46247516
4291,82742611
4292,19737320
4293,45121025
4294,72520073
4295,18914778
4296,45909477
4297,71407486
4298,7892180
4299,44287299
4300,70681994
4301,7670542
4302,33064647
4303,75559356
4304,2957055
4305,38942059
4306,85705804
4307,61854111
4308,37120512
4309,4614116
4310,40619825
4311,77007920
4312,3492538
4313,39897277
4314,46009906
4315,2370081
4316,39774685
4317,65169794
4318,1557499
4319,38552107
4320,64047146
4321,1435851
